Position,Tropic Level,Organism,Count,Growth Rate
20,1,Detritus,35462,1.4
40,1,Zooplankton,42563,1.35
60,1,Plants,56984,1.4
80,1,Insects,75964,1.3
20,1.5,Shrimp,68459,1.2
30,1.5,Tanagers,25980,1.2
40,1.5,Manakins,12568,1.3
50,1.5,Guans,13652,1.2
60,1.5,Sloth,4536,1.1
70,1.5,Grasshopper,70564,1.4
30,2,Pirahna,8945,1.2
35,2,Arowana,6845,1.1
40,2,Electric Eel,954,1.11
45,2,Giant Catfish,4986,1.2
50,2,Neon Tetras,18659,1.05
55,2,Bushmaster,3568,1.3
60,2,Hoatzin,2169,1.1
65,2,Macaws,3568,1.2
70,2,Antbirds,8154,1.3
75,2,Kingfishers,6845,1.35
80,2,Parakeets,3569,1.25
85,2,Flycatchers,4956,1.3
90,2,Woodpeckers,2365,1.2
95,2,Oropendola,1956,1.15
100,2,Capybara,1865,1.12
105,2,Green Iguanas,3568,1.24
20,2.5,Arapaima,900,1.1
30,2.5,Hummingbirds,7854,1.35
40,2.5,Giant Anteater,5423,1.25
50,2.5,Tamarins,2356,1.2
60,2.5,Spider Monkey,4865,1.3
70,2.5,Wolly Monkey,6520,1.35
80,2.5,Paca,8695,1.4
90,2.5,Kinkajou,4856,1.4
100,2.5,Giant South American River Turtle,2135,1.2
110,2.5,Iguanas,1230,1.1
120,2.5,Deer,9874,1.4
20,3,Lancehead,3568,1.2
35,3,Emerald tree Boa,1145,1.1
50,3,Toucans,4586,1.3
65,3,Storks,6854,1.36
80,3,Capuchin Monkey,4896,1.26
95,3,Howler Monkey,3589,1.34
20,3.5,Tapir,2541,1.27
40,3.5,Agouti,8742,1.36
60,3.5,Coatimundi,7856,1.24
80,3.5,Yellow-spotted River Turtle,1253,1.12
100,3.5,Poison Dart Frog,985,1.09
30,4,Giant River Otter,1546,1.14
60,4,Amazon pink river Dolphin,586,1.08
40,5,Anaconda,126,1.05
80,5,Harpy Eagle,354,1.06
40,6,Caiman,365,1.07
60,6,Boa Constrictor,213,1.03
80,6,Jaguar,546,1.05
100,6,Puma,956,1.06
